Product Name,Shop Name,Price,Growth Rate,Total Reviews,Listing Age,Category,Shop Age,Visibility Score,Conversion Rate,Total Shop Sales,Product Link,Shop Link,Est. Sales,Est. Revenue,Est. Total Sales,Total Favorites,Avg. Reviews,Total Views,Tags Used,Description Character Count,Minimum Processing,Placement Of Listing In Shop,Shop Digital Listing,Title Character Count,Listing Type,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
"250th Anniversary USA Shirt - Retro 4th of July Comfort Colors T-Shirt, America 250 Shirt, Patriotic 1776 Shirt, Independence Day T Shirt",OriginalLaundry,39.99,100,2,3 Mo.,Clothing,41,96,2.58,9320,https://www.etsy.com/listing/4448645573/250th-anniversary-usa-shirt-retro-4th-of,https://www.etsy.com/shop/OriginalLaundry,26,1054,37,86,1,1433,,,1,-1,2,137,physical,"oversized shirt,4th of july shirt,plus size sizing,independence day tee,patriotic 1776 shirt,red white and blue,america 250 shirt,250th anniversary,fourth of july 2026,eagle american shirt,usa 250 years,comfort colors shirt,semiquincentennial",oversized shirt,4th of july shirt,plus size sizing,independence day tee,patriotic 1776 shirt,red white and blue,america 250 shirt,250th anniversary,fourth of july 2026,eagle american shirt,usa 250 years,comfort colors shirt,semiquincentennial
"Comfort Colors® America 250th Anniversary Shirt, Patriotic Eagle Tee, Distressed 4th Of July Shirt, American Flag Shirt, Patriotic Gifts",ZebraCustomApparel,28.99,-100,15,4 Mo.,Clothing,21,100,1.13,15050,https://www.etsy.com/listing/4430213752/comfort-colors-america-250th-anniversary,https://www.etsy.com/shop/ZebraCustomApparel,36,1044,101,261,4,8928,,,1,2,0,136,physical,"comfort colors shirt,america 250,4th of july shirt,american flag shirt,patriotic gift,independence day,usa 250 years,patriotic shirt,fourth of july,america est 1776,eagle patriotic,250th anniversary,statue of liberty",comfort colors shirt,america 250,4th of july shirt,american flag shirt,patriotic gift,independence day,usa 250 years,patriotic shirt,fourth of july,america est 1776,eagle patriotic,250th anniversary,statue of liberty
"250th America Anniversary Shirt, We The People Sweatshirt, Usa Flag Tee, Independence Day Sweater, Comfort Colors T-Shirt",CloudCottoNShirt,25.00,-100,10,3 Mo.,Clothing,7,42,2.95,3206,https://www.etsy.com/listing/4437781201/250th-america-anniversary-shirt-we-the,https://www.etsy.com/shop/CloudCottoNShirt,41,1025,68,33,3,2304,,,1,-1,1,121,physical,"semiquincentennial,usa sweatshirt,american flag shirt,independence day,patriotic shirt,usa 250 years,250th anniversary,4th of july shirt,comfort colors shirt,fourth of july shirt,america 250,america shirt,1776 shirt",semiquincentennial,usa sweatshirt,american flag shirt,independence day,patriotic shirt,usa 250 years,250th anniversary,4th of july shirt,comfort colors shirt,fourth of july shirt,america 250,america shirt,1776 shirt
"America 250 Shirt, USA 250th Anniversary Shirt, 1776–2026 Patriotic American Flag T-Shirt r54tr",CaptainLoom,29.00,0,4,2 Mo.,Clothing,6,0,1.57,103,https://www.etsy.com/listing/4458143981/america-250-shirt-usa-250th-anniversary,https://www.etsy.com/shop/CaptainLoom,35,1015,32,69,2,2035,,,1,0,0,96,physical,"america 250 shirt,usa 250th shirt,1776 2026 shirt,usa patriotic shirt,250 years america,usa 250 anniversary,4th of july shirt,independence shirt,usa pride shirt,vintage flag shirt,usa freedom tee,patriotic t shirt,american flag tee",america 250 shirt,usa 250th shirt,1776 2026 shirt,usa patriotic shirt,250 years america,usa 250 anniversary,4th of july shirt,independence shirt,usa pride shirt,vintage flag shirt,usa freedom tee,patriotic t shirt,american flag tee
"Embroidered We The People Comfort Colors Shirt,Independence Day T-Shirt,Patriotic Tee",RabisLLC,65.00,0,3,1 Mo.,Clothing,9,87,3.05,631,https://www.etsy.com/listing/4465550662/embroidered-we-the-people-comfort-colors,https://www.etsy.com/shop/RabisLLC,15,975,12,13,3,394,,,1,-1,0,85,physical,"we the people tee,patriotic t-shirt,history shirt,labor day shirt,4th july shirt,gift for people,freedom shirt,independence day,250 years shirt,250th anniversary,embroidered t-shirt,memorial day,1776 shirt",we the people tee,patriotic t-shirt,history shirt,labor day shirt,4th july shirt,gift for people,freedom shirt,independence day,250 years shirt,250th anniversary,embroidered t-shirt,memorial day,1776 shirt
Retro USA 250th Anniversary 2026 PNG 250 Years of America Patriotic Graphic 4th of July Shirt for T Shirts Sweatshirt Hoodie Sublimation POD,AllAboutTrendsNow,10.00,800,4,2 Mo.,Art & Collectibles,33,100,3.76,338,https://www.etsy.com/listing/4461613762/retro-usa-250th-anniversary-2026-png-250,https://www.etsy.com/shop/AllAboutTrendsNow,96,960,115,194,2,3057,,,,1,146,140,download,"250th usa aniversary,usa 250 years shirt,america 250 png,america 250 yrs,semi quincentennial,semiquincentennial,4th of july sublime,4th-of-july-png,4thof of july shirt,4th of july giftful,4th-of-july-shirt,usa patriot 1776,american patriotism",250th usa aniversary,usa 250 years shirt,america 250 png,america 250 yrs,semi quincentennial,semiquincentennial,4th of july sublime,4th-of-july-png,4thof of july shirt,4th of july giftful,4th-of-july-shirt,usa patriot 1776,american patriotism
"America 250 T-shirt, Family Shirts 1776-2026 Patriotic Matching 4th of July Outfit, Custom USA Anniversary Tee, Independence Day 2026 Tee",HappyCubKidsStudio,20.00,1200,1,1 Mo.,Clothing,4,0,58.9,86,https://www.etsy.com/listing/4465005118/america-250-t-shirt-family-shirts-1776,https://www.etsy.com/shop/HappyCubKidsStudio,48,960,86,4,1,146,,,7,-1,0,137,physical,"america 250 shirt,250th anniversary,4th of july shirt,family matching tee,patriotic outfit,independence day,usa birthday shirt,america 2026 shirt,family july 4th,usa anniversary,family reunion tee,july 4th t-shirt,july 4th tee",america 250 shirt,250th anniversary,4th of july shirt,family matching tee,patriotic outfit,independence day,usa birthday shirt,america 2026 shirt,family july 4th,usa anniversary,family reunion tee,july 4th t-shirt,july 4th tee
"Comfort Colors® Retro Usa 250 Shirt, Independence Day Shirt, Celebrate 250th Anniversary Shirt Usa Flag Tee 4th of July Shirt Patriotic Gift",DoduArtDesign,36.00,0,5,4 Mo.,Clothing,13,87,1.43,2836,https://www.etsy.com/listing/4429623388/comfort-colors-retro-usa-250-shirt,https://www.etsy.com/shop/DoduArtDesign,24,864,28,79,1,1958,,,1,-1,0,140,physical,"250th anniversary,4th of july shirt,fourth of july shirt,semiquincentennial,usa christmas gift,usa shirt,american flag shirt,comfort colors shirt,independence day,patriotic shirt,usa 250 years",250th anniversary,4th of july shirt,fourth of july shirt,semiquincentennial,usa christmas gift,usa shirt,american flag shirt,comfort colors shirt,independence day,patriotic shirt,usa 250 years,--,--
"Comfort Colors® 4th of July Shirt, Retro American Flag Shirt, Patchwork USA Shirt, Patriotic Shirt, Fourth of July Shirt,  USA Flag Tee",TeeShirtFactoryUS,31.99,100,5,1 Mo.,Clothing,22,100,1.85,3543,https://www.etsy.com/listing/4465454821/comfort-colors-4th-of-july-shirt-retro,https://www.etsy.com/shop/TeeShirtFactoryUS,27,864,28,74,5,1513,,,1,0,0,135,physical,"usa graphic shirt,red white blue tee,4th of july shirt,independence day,america 250 shirt,usa 250 anniversary,american flag tee,faux patchwork tee,july 4th outfit,us flag shirt,usa flag shirt,patriotic,july 4th",usa graphic shirt,red white blue tee,4th of july shirt,independence day,america 250 shirt,usa 250 anniversary,american flag tee,faux patchwork tee,july 4th outfit,us flag shirt,usa flag shirt,patriotic,july 4th
"Custom Descendant of a Patriot Shirt, 250th Anniversary 1776 2026 Vintage Tee, Personalized Ancestor, USA 250 Unisex T-shirt",KimberlyCa1967,17.32,0,5,1 Mo.,Clothing,35,0,52.08,1702,https://www.etsy.com/listing/4465280161/custom-descendant-of-a-patriot-shirt,https://www.etsy.com/shop/KimberlyCa1967,49,849,50,1,5,96,,,1,-1,0,124,physical,"custom patriot shirt,250th anniversary,america 250 tee,1776 2026 vintage,genealogy gift,comfort colors,family heritage,historic american,semiquincentennial,fourth of july shirt,4th of july shirt,memorial day shirt,america first",custom patriot shirt,250th anniversary,america 250 tee,1776 2026 vintage,genealogy gift,comfort colors,family heritage,historic american,semiquincentennial,fourth of july shirt,4th of july shirt,memorial day shirt,america first
